,Title,Lyric,Artist
59,[Lyrics] Rudeboy – “#IFAi”,"[Verse 1]
Girl I can’t Leave My Life Without You
When I Open My Eyes I Need You
Now I’m So Much In Love, I Love You

[Hook/Chorus]
Are You Listening?
Are you there?
If I Tell You I Love You
No Use Me dey Play
No think Say I Dey Craze oh
If I Tell You I Love You
No Use Me They Play
No Put Me For Cage oh

[Bridge]
Wo uh wo
Yea eh eh yea yea eh
I Love You I Love You

[Verse 2]
If I Tell You Say Na Only You wey dey burst My Brain o
How You Do Feel? Abi You Know They Look Uche Face o
Only You, Nobody Else

[Hook/Chorus]
Are You Listening?
Areyou there?
If I Tell You I Love You
No Use Me Dey Play
No Think Say I Dey Craze oh
If I Tell You I Love You
No Use Me dey Play
No Put Me For Cage Oh

[Bridge]
Wo uh wo
Yea eh eh, yea yea eh
I Love You I Love You
Only You uhuh uh uh uh uh
Na eheee, e yea yea
Only You, You , You

[Hook/Chorus/Outro]
Are You Listening?
Are you there?
If I Tell You I Love You
No Use Me Dey Play
No Think Say I Dey Craze
If I Tell You I Love You
No Use Me They Play
No Put Me For Cage Oh
Are You Listening? oh oh
Are you there?
e hee",Rudeboy
60,[Lyrics] Rudeboy (P-Square) – “Is Allowed” ft. Reminisce,"[Intro]
Runtinsu boy
Rude’
They dunno, Ibile

[Rudeboy]
Girl, I no fit wait oh
Gimme fire make e blaze oh
Make e blaze oh
I go change the game oh
I not fit shout cos we no be mate oh
We no be mate oh
Back it up, give it up
Do me some tugudum
Mash it up, Rude’
Back it up, give it up
Do me some tugudum
Mash it up

[Hook/Chorus]
Mo ni k’e keep on rocking
Is Allowed, Is Allowed
E sa ma jijo daddy
Is Allowed, Is Allowed
Mo ni k’e keep on rocking
Is Allowed, Is Allowed
E sa ma jijo daddy
Is Allowed, Is Allowed

[Interlude]
Go! Down down down down…

[Rudeboy]
As I dey craze, you dey display
I no fit doubt you
Now I know the things you
do when am not around you
I go buy you something, bae
Do you something, eh eh ehh
I no fit shout oh, eh
We no be mate oh, ehh
Back it up, give it up
Do me some tugudum
Mash it up, Rude’
Back it up, give it up
Do me some tugudum
Mash it up

[Hook/Chorus]
Mo ni k’e keep on rocking
Is Allowed, Is Allowed
E sa ma jijo daddy
Is Allowed, Is Allowed
Mo ni k’e keep on rocking
Is Allowed, Is Allowed
E sa ma jijo daddy
Is Allowed, Is Allowed

[Interlude]
Go! Down down down down…

[Reminisce]
Uhh, Ibile!
Level wa n’le bi iyepe- ‘yepe
Paralyse e, so d’efo tete- tete
Denge wo’nu club pelu kembe- kembe
Wakati kan pere, mi o ni pe n’be- pe n’be
This your fala-fala and your folo-folo
put you in trouble with my big kokoro
K’a ma keep on rocking, k’o ma jo bi okoto
Shaku Shaku t’o jo, ejo, won ni ko to- yeh!
Before before, won ni na 1 no be 2
But lowo yi, won ni na 2 no be 1
Your bobbi is 2 and my kini is 1
Je k’a lepo my dear, k’a so’ra wa di 1
K’a ma skibobo, k’a jo ma ropopo
K’a ba pari, k’a ma rin lo lototo
Rudeboy soft, ‘Aga soft
Felele ni’seyen se, oya soft!

[Rudeboy]
Girl, I no fit wait oh “Ibile!”
Gimme fire make e blaze oh
Make e blaze oh
I go change the game oh
I not fit shout cos we no be mate oh
We no be mate oh
As I dey craze, you dey display
I no fit doubt you
Now I know the things you do when am not around you
I go buy you something, bae
Do you something, eh eh ehh
I no fit shout oh, eh
We no be mate oh, ehh
Back it up, give it up
Do me some tugudum
Mash it up, Rude’
Back it up, give it up
Do me some tugudum
Mash it up

[Hook/Chorus]
Mo ni k’e keep on rocking
Is Allowed, Is Allowed
E sa ma jijo daddy
Is Allowed, Is Allowed
Mo ni k’e keep on rocking
Is Allowed, Is Allowed
E sa ma jijo daddy
Is Allowed, Is Allowed
Mo ni k’e keep on rocking
Is Allowed, Is Allowed
E sa ma jijo daddy
Is Allowed, Is Allowed
Mo ni k’e keep on rocking
Is Allowed, Is Allowed
E sa ma jijo daddy
Is Allowed, Is Allowed

[Interlude]
Go! Down down down down…

[Outro]
Ibile! Ah ah
O wa n’le bi iyepe
Ruhuhuuu
Normal level
Rude Boy
Skukodukos, ah ah
==Ehnehn, DotGuy on the beat==
Je’on mo!
Rude’, they dunno",Rudeboy (P-Square)
61,[Lyrics] Phyno x Olamide – “Onyeoma” (Prod. Pheelz),"[Intro – Olamide]
My brother show me love oh “Onyeoma”
When you see me oh “Onyeoma”
Spray me money oh
Onyeoma Onyeoma Onyeoma
Pheelz Mr. Producer

[Hook/Chorus 1 – Olamide]
My brother show me love oh “Onyeoma”
When you see me oh “Onyeoma”
Spray me money oh
Onyeoma Onyeoma Onyeoma
Because when I hammer oh
I go show you love oh
I go spray you money oh
Onyeoma Onyeoma Onyeoma

[Hook/Chorus 2 – Phyno]
Spray me dollar dollar eh eh
Pounds Sterling ah ah
My cheerful giver
Onyeoma Onyeoma Onyeoma
Spray me dollar dollar eh eh
Pounds sterling ah ah
You be my only sponsor “seh”
Onyeoma Onyeoma Onyeoma

[Verse 1 – Phyno]
To make am for this life
Brother you need to hustle
And if you make am for this life
Nwanne no be muscle
imana grace of God
If no be God
Weytin I for do oh
I for don lose my thing oh
Ngozi elutego gi aka “Onyeoma”
O ga erutakwa mu aka m “Onyeoma”
I ga etinye kwa mu aka “Onyeoma”
Nga eletakwa gi anya
imana chi nke Igwe
ike nkwu aba
meeru m ife imere ibem k’obi weh di mu mma

[Hook/Chorus 1 – Olamide]
My brother show me love oh “Onyeoma”
When you see me oh “Onyeoma”
Spray me money oh “Onyeoma”
Onyeoma Onyeoma Onyeoma
Because when I hammer oh “Onyeoma”
I go show you love oh “Onyeoma”
I go spray you money oh
Onyeoma Onyeoma Onyeoma

[Hook/Chorus 2 – Phyno]
Spray me dollar dollar eh eh
Pounds Sterling ah ah
My cheerful giver
Onyeoma Onyeoma Onyeoma
Spray me dollar dollar eh eh
Pounds sterling ah ah
You be my only sponsor
Onyeoma Onyeoma Onyeoma

[Verse 2 – Olamide]
Alaye tigba shile
tigba lowo oh
tigba lola
a jo ma turn up oh
oya totori baby
totori bobo oh
when you hear
ti pi di popo
di popo di popo
ka anyi tewe egwu
If Life was a thing that money go dey buy oh
Brother the rich man go live oh
Na the poor man go kpai oh
Chicken no dey fly for night
Bar beach water no dey dry
Bros your pocket no go dry
Give me raba make I smile

[Hook/Chorus 1 – Olamide]
My brother show me love oh “Onyeoma”
When you see me oh “Onyeoma”
Spray me money oh
Onyeoma Onyeoma Onyeoma
Because when I hammer oh “Onyeoma”
I go show you love oh “Onyeoma”
I go spray you money oh
Onyeoma Onyeoma Onyeoma

[Hook/Chorus 2 – Phyno]
Spray me dollar dollar eh eh
Pounds Sterling ah ah
My cheerful giver
Onyeoma Onyeoma Onyeoma
Spray me dollar dollar eh eh
Pounds sterling ah ah
You be my only sponsor
Onyeoma Onyeoma Onyeoma “seh”

[Bridge – Olamide]
Baba oh
iba re one million, olowu
a po shasha Mura
osha ble ble
osha pro pro
osha mono mono
ko ni ton be
Wagbaye baba mi “opoju”
ogbono tutu olata owan yi
oh my god

[Bridge – Phyno]
Onweghi di
onye ozo mekwaru gi eh nwanne
wider wider wider!

[Hook/Chorus 1 – Olamide]
My brother show me love oh “Onyeoma”
When you see me oh “Onyeoma”
Spray me money oh “Onyeoma”
Onyeoma Onyeoma Onyeoma
Because when I hammer oh “Onyeoma”
I go show you love oh “Onyeoma”
I go spray you money oh
Onyeoma Onyeoma Onyeoma

[Hook/Chorus 2 – Phyno]
Spray me dollar dollar eh eh
Pounds Sterling ah ah
My cheerful giver
Onyeoma Onyeoma Onyeoma
Spray me dollar dollar eh eh
Pounds sterling ah ah
You be my only sponsor
Onyeoma Onyeoma Onyeoma

[Outro – Phyno]
Nga elutekwa gi nso “Onyeoma”
I ga enyetukwa mu aka “Onyeoma”
nga ekechinye mu ife
Onyeoma Onyeoma Onyeoma
Nga elutekwa gi nso “Onyeoma”
I ga etinhye go mu ife “Onyeoma”
Pheelz Mr. Producer
I ga etinye go mu aka oh
Onyeoma Onyeoma Onyeoma",Phyno x Olamide
62,"[Lyrics] DMW – “Aje” ft. Davido, Peruzzi, Yonda & FreshVDM","[Verse 1 – Peruzzi]
Hmmm, Peru, Peru aaa!
Hold somebo, hold somebody
Hold somebo, hold somebody
Hold somebo, hold somebody
Am losing control
London girls dem fine but dem no fine pass you
Dem wan do the do, but dem no do pass you
American girls dem high but dem no high pass you
You make I wan chu banku, go dey hewu de banku

[Hook/Chorus]
Aje, Aje, Aje, Aje, Aje, Aje
Mananti, mananti, mananti, manantisa aaa
Aje, Aje, Aje, Aje, Aje
Mananti, mananti, mananti, Manantisa aaa
Baby would you believe if I tell you say you are the one for me
No one can take your place ooo
Baby would you believe if I tell you say you are the one for me
No one can take your place ooo
Odo, (Odo ee) ewe, Ewu, If you no dey
Odo, (Odo ee) ewe, Ewu, If you no dey

[Verse 2 – Davido]
Da*n, Fresh on the beat
Hold somebo, hold somebody
Hold somebo, hold somebody
Hold somebo, hold somebody
America girls dem balling, but them no ball pass you
Dem buy Gucci shoe, but you dey buy them double
I know say london cold, so me I wan come hold you
I no wan do the do, I just wan cuddle

[Hook/Chorus]
Aje, Aje, Aje, Aje, Aje, Aje
Mananti, mananti, mananti, manantisa aaa
Aje, Aje, Aje, Aje, Aje
Mananti, mananti, mananti, Manantisa aaa
Baby would you believe if I tell you say you are the one for me
No one can take your place ooo
Baby would you believe if I tell you say you are the one for me
No one can take your place ooo
Odo, ewe, Ewu, If you no dey
Odo, ewe, Ewu, If you no dey

[Verse 3 – Yonda]
Da*n, Fresh on the beat
Hold somebo, hold somebody
Hold somebo, hold somebody
Hold somebo, hold somebody
Naija girls dem ja, but them no ja reach you
Too woke e no be part two, so all I want is you
And we go straight to the foreplay
Been there, done that my way
If i take you away, i go takeaway
Baby ma lo so sokuso si Alaiye mi

[Hook/Chorus]
Aje, Aje, Aje, Aje, Aje, Aje
Mananti, mananti, mananti, manantisa aaa
Aje, Aje, Aje, Aje, Aje
Mananti, mananti, mananti, Manantisa aaa
Baby would you believe if I tell you say you are the one for me
No one can take your place ooo
Baby would you believe if I tell you say you are the one for me
No one can take your place ooo
Odo, (ye ye ye) ewe, Ewu, If you no dey
Odo, (ye ye ye) ewe, Ewu, If you no dey

[Outro]

Teewhy Mix",DMW
63,[Lyrics] Wizkid – “Highgrade” f. Ty Dolla $ign (Prod. Mut4y),"[Bridge – Ty Dolla Sign & Wizkid]
I feel the vibe
Feelings you can’t hide
We can go all night, oh yeah
Baby, it’s your time
You know that it’s yours
Girl, you know you’re mine, oh yeah
And don’t say no tonight
Let me know when you’re ready
Won’t let you down this time
Yeah, gyal, I can read your mind
I’ll take you down tonight
I’ll give you love all night, yeah

[Verse 1 – Wizkid]
Just a couple likkle things when you do make a bad man know
You make it difficult for me to leave, you make my likkle bad man pause
She said she not a groupie, not the type to l–t for cars and clothes
She wanna give me vibes, she wanna go tonight

[Hook/Chorus – Wizkid]
Smoke highgrade by the fireplace
Wishing for higher days
Sexing you night and day, yeah
Feelings we can’t erase
Don’t let the fire away
The fire away, have a fire today
Gyal, I gotta let you know

[Bridge – Ty Dolla Sign & Wizkid]
I feel the vibe
Feelings you can’t hide
We can go all night, oh yeah
Baby, it’s your time
You know that it’s yours
Girl, you know you’re mine, oh yeah
And don’t say no tonight
Let me know when you’re ready
Won’t let you down this time
Yeah, gyal, I can read your mind
I’ll take you down tonight
I’ll give you love all night, yeah

[Verse 2 – Ty Dolla Sign]
You want a real one, huh?
You won’t f**k with broke nig**s, huh?
Ain’t s–t they could tell ya, huh?
These bi****s mad and, oh well, huh?
Chanel bag with the Gucci
I turn your life into a movie
I f**k a bi**h at the movies
Spend a band on these Zoobies
On and on and on
She said, “Boy, that my favorite song”
Looking good with no makeup on
Kush got me Hong Kong
Feelings we cannot hide “cannot hide”
Fire in your eyes “fire in your eyes”
Sex on your mind
Ooh

[Bridge – Ty Dolla Sign & Wizkid]
I feel the vibe
Feelings you can’t hide
We can go all night, oh yeah
Baby, it’s your time
You know that it’s yours
Girl, you know you’re mine, oh yeah
And don’t say no tonight
Let me know when you’re ready
Won’t let you down this time
Yeah, gyal, I can read your mind
I’ll take you down tonight
I’ll give you love all night, yeah

 ",Wizkid
64,[Lyrics] Kiddominant – “Alright” ft. Wizkid,"[Intro – Wizkid]
Imma shayo
Oh na na na imma shayo oh oh

[Hook/Chorus – Kiddominant]
It’s alright, it’s alright
All of my guys are alright
Look at us we wearing all white
Smoking and drinking all night
It’s alright, it’s alright
All of my guys are alright
Look at us we wearing all white
Smoking and drinking all night

[Post-Hook/Chorus – Kiddominant & WizKid]
Okay, gbana, shisha everything, shamanya
Okay, gbana, shisha everything, shamanya
Okay, gbana, shisha everything, shamanya
Okay, gbana, shisha everything, shamanya

[Verse 1 – Wizkid]
Me Star boy, mo ma shayo
Mo shayo, mo shayo oh
Mo ma gb’ashawo, mo ma gbe’le
Omo ele, ka Jo ma lele
Yeah, shebi awon lo lenue nue
So when I pull up issa Benz Benz Benz
When the money come in come in plenty e ti e
Now all the girls wanna roll
Everyday we dey shayo
Everyday we dey shayo oh
Me and my girls we go shamanya
But I no dey smoke gbana
Everywhere we go we dey alright oh
Dressed in all white oh
And we dey thank God for more life oh

[Hook/Chorus – Kiddominant]
It’s alright, it’s alright
All of my guys are alright
Look at us we wearing all white
Smoking and drinking all night
It’s alright, it’s alright
All of my guys are alright
Look at us we wearing all white
Smoking and drinking all night

[Post-Hook/Chorus – Kiddominant & Wizkid]
Okay, gbana, shisha everything, shamanya
Okay, gbana, shisha everything, shamanya
Okay, gbana, shisha everything, shamanya
Okay, gbana, shisha everything, shamanya

[Verse 2 – Wizkid]
Ye, this kind dance I never see
Her pressure dey high calm me down wowo
My girl hold on to me
Never ever leave me for crush wowo
Say make we dance all night
Say make we dance oh wowo
Never leave my side oh
Would you take a bullet for me
Oya come make we shayo oh
Come make we shayo oh
Say me and you make we shamanya
Come make me manya

[Bridge – Kiddominant]
You know am not a player but I crush a lot
Two bad bi****s and we smoke a lot
You know am not a player but I crush a lot
Two bad bi****s and we smoke a lot

[Hook/Chorus – Kiddominant]
It’s alright, it’s alright
All of my guys are alright
Look at us we wearing all white
Smoking and drinking all night
It’s alright, it’s alright
All of my guys are alright
Look at us we wearing all white
Smoking and drinking all night

[Outro – Wizkid & Kiddominant]
Starboy
Kiddo, Kiddominant yeah yeah",Kiddominant
65,[Lyrics] Wizkid – “Commando” ft. Mut4y & Ceeza Milli,"[Intro]
Yeah yeah
Odi odi
Starboy
Ehn Ehn

[Verse 1 – Wizkid]
The love wey you give me girl e dey high pass palmi
“Spellz”
Omalicha girl you sweet pass jollof oh
Apuruka something come and coolu my temper oh
My baby see wetin you carry oh le le oh oh

[Hook/Chorus – Wizkid & Ceeza Milli]
Baby whine oh shake ehn ehn
Whine commando
Whine and dance commando ehn ehn
Whine oh my baby go down low
Odi Odi
Shake oh shake oh
Shake make you dance you don’t know
Whine and dance commando
whine oh my baby go down low

[Bridge – Ceeza Milli]
Bumana
Come see baller
E be your body make I go gaga
Ohima (?)
Oh let your bumama
Come see baller
E be you I dey search for truecaller
Ohima (?)

[Verse 2 – Wizkid]
Ehn
Oh baby oya move oya
Baby whine nyoma
You fine chioma
Say na you be the one I dey want oh
Every day she listen to my song
She dey do it all night long
I tell her say na she I want
She say na me wey she dey want yay

[Hook/Chorus]
Oh baby whine oh shake ehn ehn
Go down low
Whine am baby go down low ehn ehn
Whine am baby go down low
Baby shake commando ehn ehn
Baby whine oh shake oh, commando ehn ehn
Whine am baby go down low ehn ehn
Whine for me you be commando

[Bridge]
Bumana
Come see baller
E be your body make I go gaga
Ohima (?)
Oh let your bumama
Come see baller
E be you I dey search for truecaller
Ohima (?)

[Verse 3 – Ceeza Milli]
Aye
Girl I wanna feel your body on my body
I no really wanna waste your time girl
Girl I for like make you sef come be my paddy “Spellz”
Now you gat me knocking at your door gat me knocking
Cos nobody love her better
Girl I dey beg you make I enter finito late oh
Girl come whine fi papito
Fiesta fiesta when you boogie down I dey mental
The way you whine oh yea my baby dance reggae and Calypso

[Hook/Chorus]
Oh baby whine oh shake ehn ehn
Go down low
Whine am baby go down low ehn ehn
Whine am baby go down low
Baby shake commando ehn ehn
Baby whine oh shake oh, commando ehn ehn
Whine am baby go down low ehn ehn
Whine for me you be commando

[Bridge]
Bumana
Come see baller
E be your body make I go gaga
Ohima (?)
Oh let your bumama
Come see baller
E be you I dey search for truecaller
Ohima (?)

[Hook/Chrous Wizkid & Ceeza Milli]
The love wey you give me girl e dey high pass palmi
Omalicha girl you sweet pass jollof oh
Apuruka something come and coolu my temper oh
My baby see wetin you carry oh le le oh oh
Baby whine oh shake oh, whine commando
Whine and dance commando,
Whine oh baby go down low
Odi Odi
Shake oh shake oh
“Spellz”
Shake make you dance you don’t know
Whine and dance commando
whine oh my baby go down low

[Outro]",Wizkid
66,[Lyrics] Wizkid – Lagos Vibes,"[Instrumental]

[Verse 1 – Wizkid]
I know say the things you dey do no pay
Say you dey play with a guy like me, my girl e no pay
Uhh uuh
I know say you go make a guy kpai one day
I know say if I no leave I swear I fit kpai today

[Pre-Chorus – Wizkid]
Oh baby baby baby
Baby baby
Oh my baby, baby oh
Baby baby
Say I’m calling you
Every day I’m calling you
Say I dey wait for you
I go see you through eh

[Chorus – Wizkid]
Oh girl I wanna feel your vibes (uh eh)
Say baby make we dey together oh
Close, never far away eh

Oh girl I wanna feel your vibes (uh eh)
Oh girl I wanna see you through
Girl make we dey together oh eh

[Verse 2 -Wizkid]
Oh baby baby baby
You make my temperature rise
Oh baby baby baby
Say when you leave my battery kpai
Oh my lady, lady
I wanna feel all your loving all night

Oh baby baby baby
Say when you no move, say man no fit move
Oh my girl I wanna feel your vibes
Tell me wetin dey your mind
Oh my girl I wanna hold your side
Make I hold you down, me and you, you, you

Girl I beg you free your mind
Girl I beg you change your mind
Baby make I dey with you
Baby girl I wanna dey with you uhh uhh

[Pre-Chorus – Wizkid]
Oh baby baby baby (Uh baby, baby, bay)
Baby baby (Uh baby, bay)
Oh my baby, baby oh (Uh baby, baby, baby)
Baby baby (Uh baby, bay)
Say I’m calling you (I’m calling you)
Every day I’m calling you (I dey call you)
Say I dey wait for you (uh baby baby baby)
I go see you through eh

[Chorus – Wizkid]
Oh girl I wanna feel your vibes (uh eh)
Say baby make we dey together oh
Close, never far away eh

Oh girl I wanna feel your vibes (uh eh)
Oh girl I wanna see you through
Girl make we dey together oh eh
Eh eh

[Instrumental]",Wizkid
67,[Lyrics] Oladips – “O’Sure” ft. Olamide,"[Intro – Olamide]
Oladips loma mu ori
Baddo loma mu iru
Alaga fowon ni itan
Dj Enimoney kilonso
“It MajorBanks“
Won bi Iya eyan
Won bi iya ase
Let them know

[Hook/Chorus – Oladips]
Look!
I had a rough day da*n, I was feeling hectic
Wonu bathroom we pelu anticeptic
Flows eleyi ni warapa, owa epileptic
Koda koje handicap Barca mi mano Celtic
Tori O’Sure Funmi daku
O’Sure funmi daku
Ani O’Sure funmi daku
O’Sure funmi daku
Moni O’Sure funmi daku
O’Sure funmi daku
Toba Je ti Rap wo O’Sure Funmi daku

[Verse 1 – Oladips]
Look!
Ama say this one time Cos it can’t be rephrased
I’m the best of my kind and I can’t be replaced
Efe gba pe moju yin lo, so If that is the case
Buka Iya Suliya ma try, but it can’t be “The Place”
Awon to n gbo wa loma judge
Toba dele wonma dodge
Awon ogberi tonba Ri awo
Won ma yagbe wonma purge
Wonma gbokiti, wonma de ekiti
Won mase summersault
Tailor lawon temi tonba muyin
Won mo Ibi toma CUT
I’ve been sick from my mum’s belly
Stick to my mum’s tellings
Kekere ni moti n hustle, Dream bi Eni tiwon tele
Saw the devil in my nightmare, told the b—h you Are
Not scary
I no fit Sell my soul, even if nah one penny
Everybody claiming king, but see they gat the wrong
crown
When I started rapping Dem look me like one clown
Now I’m so fly, my legs no dey touch ground
I’m the Soundgod and I ain’t talking Runtown

[Hook/Chorus – Oladips]
Look!
I had a rough day d–n, I was feeling hectic
Wonu bathroom we pelu anticeptic
Flows eleyi ni warapa, owa epileptic
Koda koje handicap Barca mi mano Celtic
Tori O’Sure Funmi daku
O’Sure funmi daku
Ani O’Sure funmi daku
O’Sure funmi daku
Moni O’Sure funmi daku
O’Sure funmi daku
Toba Je ti Rap wo O’Sure Funmi daku

[Verse 2 – Olamide]
Biti Kendrick iya yin mo n Pe mo L’hammer
Mio raye grammar,butter yato Si bama
Yahoo yahoo ni Ise yen, bomb yi osama
Fxck the system up, something like a scammer
De ade oba iya yin ema ba de
Obo oba un o idi iya yin ema ba ho
A-s licker niyin mehn Kosi nkan tele bamiso
Egbe gberun irawo yin ole mole to osupa abi sun
Etiwa ninu shalanga bai eti n gbo Deep s–t
I don’t even care I’m just living like a gipsy
Woni moso gibberish emi oku gbo English
Kowo shati pe kowole oti finish
My f**k**g hammer, Always with me
Ready for war, when you see me
Eyin kere ewe simi, epada losi jele osimi
Eni sun, eni simi, e regret ojo tebe simi
Oladips wonti vex mi, jhor bami pass Hennessy mii

[Hook/Chorus – Oladips]
Look!
I had a rough day da*n, I was feeling hectic
Wonu bathroom we pelu anticeptic
Flows eleyi ni warapa, owa epileptic
Koda koje handicap Barca mi mano Celtic
Tori O’Sure Funmi daku
O’Sure funmi daku
Ani O’Sure funmi daku
O’Sure funmi daku
Moni O’Sure funmi daku
O’Sure funmi daku
Toba Je ti Rap wo O’Sure Funmi daku

[Verse 3 – Oladips & Olamide]
[Oladips]
Oluwa lo n s’eda Omo eniyan
Oladips lo n s’eda rap
Lodifa fun eni fe wose n 5:am
to set alarm
Atete sun latete ji, atete ji l’atete wose
Elomi le lo 20 Years, Sugbon koma tete mose
[Olamide]
Baba e nogo tey nah
L’ola ina ati ena
Moma yi gbogbo yin lori gbeyin bi antenna
Emi o ja fun oba mio ja fun chief mio n se Jidenna
Ise yen ti gbo bi Ile Galilee, esa mo Canaan
[Oladips]
Ebi mi ko pe mo ja fafa
Mope jesu, moba d’ifa
Mose bricklayer, gba oko agbaro Walahi mosa kpapa
Pe baliki ko ja n’pata,
Moja n kormu, mo ja n pata
Blue Passport ni mo n Wa kiri teba gbo pe mofe akata
[Olamide]
Sergeant Rodger lomo
Eruku soldier lomo
Eshin mi ti gbera eye so Story keye palomo
Kokoro kan nbe l’oko tele fiwe ijalo mo
Scorpion!!! Motherf**k*r bere mii ni falomo

[Hook/Chorus – Oladips]
Look!
I had a rough day d–n, I was feeling hectic
Wonu bathroom we pelu anticeptic
Flows eleyi ni warapa, owa epileptic
Koda koje handicap Barca mi mano Celtic
Tori O’Sure Funmi daku
O’Sure funmi daku
Ani O’Sure funmi daku
O’Sure funmi daku
Moni O’Sure funmi daku
O’Sure funmi daku
Toba Je ti Rap wo O’Sure Funmi daku

[Outro – Olamide]
Ema fooooooh
Iseyen ti wavy ju
Wonti fooooh
Iseyen ti wavy ju (2x)
Oooya foh yamama
Iya yin, ba ba baba yin
Iya eyin, baba ahon
LRR/YBNL",Oladips
68,[Lyrics] Reekado Banks – Pull Up,"My head
My Back My
Chest Oh Oh (Burst Brain)
Eh eh
Ah Reeky Baby oh
Eyea

[Verse 1 – Reekado Banks]

Ah Sexy, I like the way you whine that body
Baby, Baby, I like the way you whine that body
Sexy rotate oh
rotate, Ah rotate
Baby showcase oh
showcase, ah showcase
Bend your low waist, low waist o, low waist
money dey for my hand o, I fit to change your life oh oh oh

[Sub Chorus]

Give it to me!

Ah Sexy
ah Sexy
ah Sexy
ah Sexy
ah Sexy
ah Sexy
ah Sexy
Baby ah Sexy.

[Chorus]

Pull up in my room ah
in my room ah, in my room ah
baby girl, pull up in my room ah
in my room ah, in my room ah
Oh baby girl pull up in my room ah
in my room ah, in my room ah
pull up in my room ah
in my room ah, in my room ah

[Verse 2]

Whine for me
Gimme dat thing, gimme dat thing wey dey make man craze ah
babe when way you whine dat thing ah ah, all my people can’t deny dat thing
Whine for me
Gimme dat thing, gimme dat thing wey dey make man craze ah
baby this your body no be rumour (rumour), innocent with the face
dance fire eh, till you tire eh
dance and whine and burst the speaker (oh girl)
bring water, quench the fire
My head,My Back My,Chest baby!(baby)
dance fire eh, till you tire eh
dance and whine and burst the speaker (oh girl)
bring water, quench the fire
My head, My Back My, Chest baby!

[Sub Chorus]

Give it to me!

Ah Sexy
ah Sexy
ah Sexy
ah Sexy
ah Sexy
ah Sexy
ah Sexy
Baby ah Sexy.

[Chorus – Reekado Banks]

Pull up in my room ah
in my room ah, in my room ah
baby girl, pull up in my room ah
in my room ah, in my room ah
Oh baby girl pull up in my room ah
in my room ah, in my room ah
pull up in my room ah
in my room ah, in my room ah

[Outro]

Swaps, swaps
Burst brain",Reekado Banks
69,[Lyrics] Korede Bello – Work It,"[Verse 1]
Fine fine girls wanna work it “work it”
Girl I like the way you work it “work it”
Tinuke she just dey work it “work it”
London they like to work it “work it”
Naija girls sabi work it “work it”
Ghanaian girls den dey work it “work it”
No you stealing the show
Grab somebody show them how you work it

[Hook/Chorus]
Work it oh “work it”
Show your working oh “come work it”
You know I love it oh
Shaliwa go down low & “work it”
Work it oh “work it”
Show your working oh “come work it”
You know I love it oh
Grab somebody show them how you work it

[Verse 2]
Te pa mo che, Te pa mo che
Omolope Te pa mo che
Oh Ye give me the sekpe sekpe
Lesekese me I te pa mo che
Onome see onome oh
Onome she dey give me correct oh
Onome she dey make me commend oh
Slide in the DM
Love the way you
Work oh wo oh oh
The way you talk oh oh oh talk
The way you hypnotize me with your whining baby
Grab somebody show them how you work it

[Hook/Chorus]
Work it oh “work it”
Show your working oh “come work it”
You know I love it oh
Shaliwa go down low & “work it”
Work it oh “work it”
Show your working oh “come work it”
You know I love it oh
Grab somebody show them how you work it

[Bridge]
Ohhh work it oh
Shaliwa go down work it oh
Ohh work it oh
Only you dey make me want to
Ohh oya work it oh
If my people for zanga dey work it
Ohh I work it oh
So baby Grab somebody show them how you work it

[Hook/Chorus]
Work it oh “work it”
Show your working oh “come work it”
You know I love it oh
Shaliwa go down low & “work it”
Work it oh “work it”
Show your working oh “come work it”
You know I love it oh
Grab somebody show them how you work it

[Outro]
Work it, come work it
Shaliwa go down low & “work it”
Work it oh “work it”
Show your working oh “come work it”
You know I love it oh
Work it

 ",Korede Bello
